Title,Author,Rating,Type
Wife For Sale,Tabita Gutu,4.40 avg rating — 931 ratings,4.40 avg rating — 931 ratings
FDR Unmasked: 73 Years of Medical Cover-ups That Rewrote History,Steven Lomazow,"4.33 avg rating — 1,092 ratings",(Goodreads Author)
Bonjour tristesse,Françoise Sagan,"3.73 avg rating — 61,691 ratings","3.73 avg rating — 61,691 ratings"
"Raw (RAW Family, #1)",Belle Aurora,"4.12 avg rating — 42,320 ratings",(Goodreads Author)
"Beyond the Kingdoms (The Land of Stories, #4)",Chris Colfer,"4.42 avg rating — 53,119 ratings","4.42 avg rating — 53,119 ratings"
The Girl Who Fell Beneath the Sea,Axie Oh,"4.10 avg rating — 83,448 ratings",(Goodreads Author)
Ordinary People,Judith Guest,"3.93 avg rating — 22,460 ratings","3.93 avg rating — 22,460 ratings"
Gerald's Game,Stephen        King,"3.58 avg rating — 172,421 ratings",(Goodreads Author)
"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,"4.30 avg rating — 101,112 ratings","4.30 avg rating — 101,112 ratings"
"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,"4.28 avg rating — 30,570 ratings","4.28 avg rating — 30,570 ratings"
"The Colossus Rises (Seven Wonders, #1)",Peter Lerangis,"3.85 avg rating — 15,961 ratings","3.85 avg rating — 15,961 ratings"
"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,"3.92 avg rating — 36,376 ratings",(Goodreads Author)
Notice Me,Emem Uko,4.30 avg rating — 532 ratings,(Goodreads Author)
The Lacuna,Barbara Kingsolver,"3.82 avg rating — 72,272 ratings","3.82 avg rating — 72,272 ratings"
One True Loves,Taylor Jenkins Reid,"4.03 avg rating — 633,221 ratings",(Goodreads Author)
"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael    Connelly,"4.23 avg rating — 105,770 ratings",(Goodreads Author)
Dry,Augusten Burroughs,"4.03 avg rating — 97,166 ratings",(Goodreads Author)
"Yours Truly (Part of Your World, #2)",Abby Jimenez,"4.31 avg rating — 657,970 ratings",(Goodreads Author)
"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle,"4.27 avg rating — 67,997 ratings","4.27 avg rating — 67,997 ratings"
"Fractured (Will Trent, #2)",Karin Slaughter,"4.16 avg rating — 90,764 ratings",(Goodreads Author)
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)",J.K. Rowling,"4.16 avg rating — 164,501 ratings","4.16 avg rating — 164,501 ratings"
"The Dry (Aaron Falk, #1)",Jane Harper,"4.06 avg rating — 256,612 ratings",(Goodreads Author)
"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,"4.08 avg rating — 117,809 ratings",(Goodreads Author)
"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,"3.93 avg rating — 119,095 ratings",(Goodreads Author)
"The Risk (Mindf*ck, #1)",S.T. Abby,"4.26 avg rating — 310,107 ratings","4.26 avg rating — 310,107 ratings"
"No Time for Goodbye (No Time For Goodbye, #1)",Linwood Barclay,"4.02 avg rating — 41,414 ratings",(Goodreads Author)
"The Apprentice (Rizzoli & Isles, #2)",Tess Gerritsen,"4.14 avg rating — 69,336 ratings",(Goodreads Author)
Fool,Christopher Moore,"3.97 avg rating — 56,658 ratings",(Goodreads Author)
The Clockmaker's Daughter,Kate Morton,"3.75 avg rating — 103,510 ratings",(Goodreads Author)
"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"4.01 avg rating — 82,558 ratings","4.01 avg rating — 82,558 ratings"
"Operation Pedestal: The Fleet That Battled to Malta, 1942",Max Hastings,"4.26 avg rating — 1,826 ratings","4.26 avg rating — 1,826 ratings"
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,"3.90 avg rating — 42,635 ratings","3.90 avg rating — 42,635 ratings"
"Jingo (Discworld, #21; City Watch, #4)",Terry Pratchett,"4.19 avg rating — 70,787 ratings","4.19 avg rating — 70,787 ratings"
"Dreamless (Starcrossed, #2)",Josephine Angelini,"4.17 avg rating — 45,331 ratings",(Goodreads Author)
An Astronaut's Guide to Life on Earth,Chris Hadfield,"4.17 avg rating — 61,257 ratings","4.17 avg rating — 61,257 ratings"
Hunger: A Memoir of (My) Body,Roxane Gay,"4.17 avg rating — 117,772 ratings",(Goodreads Author)
The Friendly Mouse,Sophia R. Tyler,4.44 avg rating — 749 ratings,(Goodreads Author)
"The Power of the Dog (Power of the Dog, #1)",Don Winslow,"4.37 avg rating — 45,715 ratings",(Goodreads Author)
Evoke,Danielle Simmons,4.43 avg rating — 235 ratings,4.43 avg rating — 235 ratings
Wings of Destiny: A USS Enterprise Naval Adventure Novel (Fightin'est Ship in WWII series Book 1),Scott Cook,"4.31 avg rating — 1,990 ratings","4.31 avg rating — 1,990 ratings"
