Title,Author,Rating,Type
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 9,405,476 ratings","4.34 avg rating — 9,405,476 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,638,160 ratings","4.50 avg rating — 3,638,160 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,543,343 ratings","4.29 avg rating — 4,543,343 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,589,869 ratings","4.26 avg rating — 6,589,869 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,762,190 ratings",(Goodreads Author)
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.66 avg rating — 7,036,429 ratings","3.66 avg rating — 7,036,429 ratings"
Animal Farm,George Orwell,"really liked it 4.00 avg rating — 4,262,155 ratings","really liked it 4.00 avg rating — 4,262,155 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 140,161 ratings","4.61 avg rating — 140,161 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 688,768 ratings","4.28 avg rating — 688,768 ratings"
The Fault in Our Stars,John Green,"4.13 avg rating — 5,507,021 ratings",(Goodreads Author)
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,738,183 ratings","4.13 avg rating — 1,738,183 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,196,032 ratings","4.38 avg rating — 1,196,032 ratings"
Wuthering Heights,Emily Brontë,"3.90 avg rating — 1,931,355 ratings","3.90 avg rating — 1,931,355 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,284,433 ratings",(Goodreads Author)
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,250,956 ratings","4.31 avg rating — 1,250,956 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.23 avg rating — 1,920,427 ratings","4.23 avg rating — 1,920,427 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.33 avg rating — 2,322,437 ratings","4.33 avg rating — 2,322,437 ratings"
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,228,642 ratings","4.15 avg rating — 2,228,642 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,636,428 ratings","3.93 avg rating — 5,636,428 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.28 avg rating — 1,000,467 ratings","4.28 avg rating — 1,000,467 ratings"
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,"3.93 avg rating — 2,453,448 ratings",(Goodreads Author)
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.07 avg rating — 591,272 ratings","4.07 avg rating — 591,272 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.14 avg rating — 4,236,067 ratings",(Goodreads Author)
Memoirs of a Geisha,Arthur Golden,"4.16 avg rating — 2,067,688 ratings","4.16 avg rating — 2,067,688 ratings"
Les Misérables,Victor Hugo,"4.21 avg rating — 826,247 ratings","4.21 avg rating — 826,247 ratings"
The Alchemist,Paulo Coelho,"3.92 avg rating — 3,362,826 ratings",(Goodreads Author)
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.32 avg rating — 1,061,891 ratings","4.32 avg rating — 1,061,891 ratings"
Lord of the Flies,William Golding,"3.70 avg rating — 3,079,497 ratings","3.70 avg rating — 3,079,497 ratings"
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,737,587 ratings","3.74 avg rating — 2,737,587 ratings"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.23 avg rating — 1,947,022 ratings","4.23 avg rating — 1,947,022 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.07 avg rating — 2,107,425 ratings",(Goodreads Author)
The Help,Kathryn Stockett,"4.46 avg rating — 2,931,353 ratings",(Goodreads Author)
Dracula,Bram Stoker,"4.02 avg rating — 1,391,150 ratings","4.02 avg rating — 1,391,150 ratings"
Charlotte’s Web,E.B. White,"4.20 avg rating — 1,967,385 ratings","4.20 avg rating — 1,967,385 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,656,925 ratings","3.97 avg rating — 2,656,925 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,436,799 ratings","4.31 avg rating — 1,436,799 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,714,016 ratings","3.89 avg rating — 2,714,016 ratings"
Brave New World,Aldous Huxley,"3.99 avg rating — 1,983,016 ratings","3.99 avg rating — 1,983,016 ratings"
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,752,892 ratings","3.80 avg rating — 3,752,892 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,051,523 ratings","4.12 avg rating — 1,051,523 ratings"
1984,George Orwell,"4.20 avg rating — 5,108,939 ratings","4.20 avg rating — 5,108,939 ratings"
A Thousand Splendid Suns,Khaled Hosseini,"4.45 avg rating — 1,652,380 ratings",(Goodreads Author)
"Little Women (Little Women, #1)",Louisa May Alcott,"4.16 avg rating — 2,359,129 ratings","4.16 avg rating — 2,359,129 ratings"
The Outsiders,S.E. Hinton,"4.14 avg rating — 1,501,159 ratings",(Goodreads Author)
The Princess Bride,William Goldman,"4.27 avg rating — 928,147 ratings","4.27 avg rating — 928,147 ratings"
The Secret Garden,Frances Hodgson Burnett,"4.16 avg rating — 1,245,320 ratings","4.16 avg rating — 1,245,320 ratings"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"4.45 avg rating — 2,642,598 ratings","4.45 avg rating — 2,642,598 ratings"
The Time Traveler's Wife,Audrey Niffenegger,"really liked it 4.00 avg rating — 1,834,555 ratings",(Goodreads Author)
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 10,897,330 ratings","4.47 avg rating — 10,897,330 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,960,235 ratings","4.62 avg rating — 3,960,235 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"3.98 avg rating — 1,250,713 ratings","3.98 avg rating — 1,250,713 ratings"
The Odyssey,Homer,"3.82 avg rating — 1,141,940 ratings","3.82 avg rating — 1,141,940 ratings"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"3.89 avg rating — 1,740,089 ratings","3.89 avg rating — 1,740,089 ratings"
The Kite Runner,Khaled Hosseini,"4.35 avg rating — 3,353,124 ratings",(Goodreads Author)
"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,691,989 ratings",(Goodreads Author)
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.15 avg rating — 2,259,258 ratings",(Goodreads Author)
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,596,216 ratings","4.58 avg rating — 4,596,216 ratings"
Where the Wild Things Are,Maurice Sendak,"4.25 avg rating — 1,036,894 ratings","4.25 avg rating — 1,036,894 ratings"
Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 820,844 ratings","4.31 avg rating — 820,844 ratings"
The Lovely Bones,Alice Sebold,"3.86 avg rating — 2,426,777 ratings","3.86 avg rating — 2,426,777 ratings"
The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,308,142 ratings","3.83 avg rating — 1,308,142 ratings"
"Dune (Dune, #1)",Frank Herbert,"4.28 avg rating — 1,539,521 ratings","4.28 avg rating — 1,539,521 ratings"
Life of Pi,Yann Martel,"3.94 avg rating — 1,707,328 ratings","3.94 avg rating — 1,707,328 ratings"
A Tale of Two Cities,Charles Dickens,"3.87 avg rating — 989,047 ratings","3.87 avg rating — 989,047 ratings"
Lolita,Vladimir Nabokov,"3.87 avg rating — 904,295 ratings","3.87 avg rating — 904,295 ratings"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,434,178 ratings","4.10 avg rating — 1,434,178 ratings"
Water for Elephants,Sara Gruen,"4.11 avg rating — 1,670,374 ratings",(Goodreads Author)
The Bell Jar,Sylvia Plath,"4.06 avg rating — 1,113,872 ratings","4.06 avg rating — 1,113,872 ratings"
Matilda,Roald Dahl,"4.33 avg rating — 1,048,147 ratings","4.33 avg rating — 1,048,147 ratings"
The Stand,Stephen        King,"4.35 avg rating — 804,534 ratings",(Goodreads Author)
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,"4.17 avg rating — 3,344,589 ratings","4.17 avg rating — 3,344,589 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 865,058 ratings","3.99 avg rating — 865,058 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 317,416 ratings","4.30 avg rating — 317,416 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.34 avg rating — 800,563 ratings",(Goodreads Author)
"Watership Down (Watership Down, #1)",Richard  Adams,"4.09 avg rating — 495,638 ratings","4.09 avg rating — 495,638 ratings"
Rebecca,Daphne du Maurier,"4.25 avg rating — 683,241 ratings","4.25 avg rating — 683,241 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 848,836 ratings","3.80 avg rating — 848,836 ratings"
The Color Purple,Alice Walker,"4.27 avg rating — 728,315 ratings","4.27 avg rating — 728,315 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,120,991 ratings",(Goodreads Author)
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 893,739 ratings","4.10 avg rating — 893,739 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 760,767 ratings","4.20 avg rating — 760,767 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,002,357 ratings","4.40 avg rating — 3,002,357 ratings"
My Sister’s Keeper,Jodi Picoult,"4.10 avg rating — 1,257,030 ratings",(Goodreads Author)
The Brothers Karamazov,Fyodor Dostoevsky,"4.38 avg rating — 361,530 ratings","4.38 avg rating — 361,530 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 491,513 ratings","4.30 avg rating — 491,513 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 746,639 ratings","really liked it 4.00 avg rating — 746,639 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,589,869 ratings","4.26 avg rating — 6,589,869 ratings"
The Road,Cormac McCarthy,"really liked it 4.00 avg rating — 982,001 ratings","really liked it 4.00 avg rating — 982,001 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.03 avg rating — 1,583,124 ratings","4.03 avg rating — 1,583,124 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.10 avg rating — 669,405 ratings",(Goodreads Author)
Siddhartha,Hermann Hesse,"4.08 avg rating — 832,833 ratings","4.08 avg rating — 832,833 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 647,054 ratings","4.15 avg rating — 647,054 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 292,937 ratings","3.90 avg rating — 292,937 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,007,756 ratings","4.57 avg rating — 4,007,756 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,243,751 ratings","3.81 avg rating — 1,243,751 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.11 avg rating — 772,265 ratings","4.11 avg rating — 772,265 ratings"
And Then There Were None,Agatha Christie,"4.28 avg rating — 1,510,165 ratings","4.28 avg rating — 1,510,165 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.40 avg rating — 288,924 ratings","4.40 avg rating — 288,924 ratings"
Atlas Shrugged,Ayn Rand,"3.69 avg rating — 400,623 ratings","3.69 avg rating — 400,623 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"4.02 avg rating — 626,881 ratings","4.02 avg rating — 626,881 ratings"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"4.38 avg rating — 386,800 ratings","4.38 avg rating — 386,800 ratings"
"The Notebook (The Notebook, #1)",Nicholas Sparks,"4.16 avg rating — 1,791,124 ratings",(Goodreads Author)
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"4.58 avg rating — 3,515,295 ratings","4.58 avg rating — 3,515,295 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,656,925 ratings","3.97 avg rating — 2,656,925 ratings"
"The Shining (The Shining, #1)",Stephen        King,"4.28 avg rating — 1,625,764 ratings",(Goodreads Author)
"Moby-Dick or, The Whale",Herman Melville,"3.56 avg rating — 595,721 ratings","3.56 avg rating — 595,721 ratings"
A Prayer for Owen Meany,John Irving,"4.24 avg rating — 330,037 ratings",(Goodreads Author)
The Stranger,Albert Camus,"4.03 avg rating — 1,273,942 ratings","4.03 avg rating — 1,273,942 ratings"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"4.31 avg rating — 860,385 ratings",(Goodreads Author)
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 4,281,024 ratings","4.43 avg rating — 4,281,024 ratings"
The Secret Life of Bees,Sue Monk Kidd,"4.10 avg rating — 1,329,167 ratings",(Goodreads Author)
It,Stephen        King,"4.24 avg rating — 1,209,326 ratings",(Goodreads Author)
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"4.29 avg rating — 4,291,803 ratings","4.29 avg rating — 4,291,803 ratings"
The Red Tent,Anita Diamant,"4.20 avg rating — 619,123 ratings",(Goodreads Author)
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"4.52 avg rating — 1,036,105 ratings",(Goodreads Author)
The Metamorphosis,Franz Kafka,"3.89 avg rating — 1,295,940 ratings","3.89 avg rating — 1,295,940 ratings"
A Story of Yesterday,Sergio Cobo,"4.54 avg rating — 15,365 ratings","4.54 avg rating — 15,365 ratings"
The Master and Margarita,Mikhail Bulgakov,"4.29 avg rating — 392,073 ratings","4.29 avg rating — 392,073 ratings"
The Count of Monte Cristo,Alexandre Dumas,"4.31 avg rating — 976,260 ratings","4.31 avg rating — 976,260 ratings"
Eragon (The Inheritance Cycle #1),Christopher Paolini,"3.96 avg rating — 1,881,526 ratings",(Goodreads Author)
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"4.55 avg rating — 1,097,495 ratings",(Goodreads Author)
The Very Hungry Caterpillar,Eric Carle,"4.34 avg rating — 533,341 ratings","4.34 avg rating — 533,341 ratings"
Looking for Alaska,John Green,"3.96 avg rating — 1,697,987 ratings",(Goodreads Author)
Middlesex,Jeffrey Eugenides,"4.04 avg rating — 653,311 ratings","4.04 avg rating — 653,311 ratings"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"4.16 avg rating — 896,886 ratings","4.16 avg rating — 896,886 ratings"
The Adventures of Tom Sawyer,Mark Twain,"3.92 avg rating — 985,364 ratings","3.92 avg rating — 985,364 ratings"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.24 avg rating — 3,008,021 ratings","4.24 avg rating — 3,008,021 ratings"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"4.30 avg rating — 685,380 ratings","4.30 avg rating — 685,380 ratings"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"3.89 avg rating — 1,551,536 ratings","3.89 avg rating — 1,551,536 ratings"
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"4.19 avg rating — 1,128,857 ratings",(Goodreads Author)
The Unbearable Lightness of Being,Milan Kundera,"4.11 avg rating — 514,867 ratings","4.11 avg rating — 514,867 ratings"
"Holes (Holes, #1)",Louis Sachar,"4.01 avg rating — 1,310,493 ratings",(Goodreads Author)
The Name of the Rose,Umberto Eco,"4.14 avg rating — 382,983 ratings","4.14 avg rating — 382,983 ratings"
On the Road,Jack Kerouac,"3.61 avg rating — 433,015 ratings","3.61 avg rating — 433,015 ratings"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"4.47 avg rating — 1,076,124 ratings",(Goodreads Author)
Where the Red Fern Grows,Wilson Rawls,"4.12 avg rating — 428,955 ratings","4.12 avg rating — 428,955 ratings"
Perfume: The Story of a Murderer,Patrick Süskind,"4.04 avg rating — 519,346 ratings","4.04 avg rating — 519,346 ratings"
"The Godfather (The Godfather, #1)",Mario Puzo,"4.40 avg rating — 447,154 ratings","4.40 avg rating — 447,154 ratings"
In Cold Blood,Truman Capote,"4.09 avg rating — 701,563 ratings","4.09 avg rating — 701,563 ratings"
The Scarlet Letter,Nathaniel Hawthorne,"3.44 avg rating — 895,689 ratings","3.44 avg rating — 895,689 ratings"
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,"4.26 avg rating — 958,833 ratings","4.26 avg rating — 958,833 ratings"
Fight Club,Chuck Palahniuk,"4.18 avg rating — 623,232 ratings",(Goodreads Author)
American Gods,Neil Gaiman,"4.10 avg rating — 971,971 ratings",(Goodreads Author)
The Five People You Meet in Heaven,Mitch Albom,"really liked it 4.00 avg rating — 769,432 ratings",(Goodreads Author)
Watchmen,Alan             Moore,"4.39 avg rating — 580,832 ratings",(Goodreads Author)
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"4.08 avg rating — 164,521 ratings","4.08 avg rating — 164,521 ratings"
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,"4.19 avg rating — 569,402 ratings","4.19 avg rating — 569,402 ratings"
All Quiet on the Western Front,Erich Maria Remarque,"4.10 avg rating — 493,942 ratings","4.10 avg rating — 493,942 ratings"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"4.25 avg rating — 800,927 ratings","4.25 avg rating — 800,927 ratings"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"3.92 avg rating — 731,024 ratings",(Goodreads Author)
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"4.36 avg rating — 155,774 ratings","4.36 avg rating — 155,774 ratings"
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"4.56 avg rating — 214,623 ratings","4.56 avg rating — 214,623 ratings"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"4.34 avg rating — 3,907,230 ratings","4.34 avg rating — 3,907,230 ratings"
Peter Pan,J.M. Barrie,"4.03 avg rating — 363,078 ratings","4.03 avg rating — 363,078 ratings"
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,791,938 ratings",(Goodreads Author)
Gone Girl,Gillian Flynn,"4.14 avg rating — 3,312,139 ratings",(Goodreads Author)
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"4.37 avg rating — 1,159,285 ratings",(Goodreads Author)
The Elephant Tree,R.D. Ronald,"3.79 avg rating — 31,723 ratings","3.79 avg rating — 31,723 ratings"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"4.42 avg rating — 1,171,081 ratings",(Goodreads Author)
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 529,845 ratings","3.94 avg rating — 529,845 ratings"
The Secret History,Donna Tartt,"4.16 avg rating — 914,500 ratings","4.16 avg rating — 914,500 ratings"
"Insurgent (Divergent, #2)",Veronica Roth,"3.97 avg rating — 1,579,915 ratings",(Goodreads Author)
The Addiction Manifesto,Jerry Weaver,"4.76 avg rating — 1,242 ratings","4.76 avg rating — 1,242 ratings"
A Walk to Remember,Nicholas Sparks,"4.20 avg rating — 833,610 ratings",(Goodreads Author)
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"4.24 avg rating — 1,294,806 ratings",(Goodreads Author)
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"4.55 avg rating — 465,892 ratings",(Goodreads Author)
The Thorn Birds,Colleen McCullough,"4.25 avg rating — 358,930 ratings","4.25 avg rating — 358,930 ratings"
How the Grinch Stole Christmas!,Dr. Seuss,"4.38 avg rating — 435,296 ratings","4.38 avg rating — 435,296 ratings"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"4.18 avg rating — 2,069,495 ratings",(Goodreads Author)
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"4.38 avg rating — 332,810 ratings","4.38 avg rating — 332,810 ratings"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,"4.33 avg rating — 376,171 ratings",(Goodreads Author)
"The Maze Runner (The Maze Runner, #1)",James Dashner,"4.05 avg rating — 1,619,084 ratings",(Goodreads Author)
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,"4.43 avg rating — 9,697 ratings","4.43 avg rating — 9,697 ratings"
Their Eyes Were Watching God,Zora Neale Hurston,"3.99 avg rating — 371,583 ratings","3.99 avg rating — 371,583 ratings"
The Importance of Being Earnest,Oscar Wilde,"4.17 avg rating — 393,324 ratings","4.17 avg rating — 393,324 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.64 avg rating — 2,806,430 ratings",(Goodreads Author)
Atonement,Ian McEwan,"3.95 avg rating — 545,074 ratings",(Goodreads Author)
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"really liked it 4.00 avg rating — 492,616 ratings","really liked it 4.00 avg rating — 492,616 ratings"
The Three Musketeers,Alexandre Dumas,"4.10 avg rating — 337,680 ratings","4.10 avg rating — 337,680 ratings"
"Eat, Pray, Love",Elizabeth Gilbert,"3.64 avg rating — 1,807,588 ratings",(Goodreads Author)
The Lorax,Dr. Seuss,"4.35 avg rating — 360,226 ratings","4.35 avg rating — 360,226 ratings"
The Zombie Room,R.D. Ronald,"3.83 avg rating — 32,409 ratings","3.83 avg rating — 32,409 ratings"
Goodnight Moon,Margaret Wise Brown,"4.32 avg rating — 386,954 ratings","4.32 avg rating — 386,954 ratings"
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,"4.49 avg rating — 229,661 ratings","4.49 avg rating — 229,661 ratings"
A Midsummer Night’s Dream,William Shakespeare,"3.94 avg rating — 562,642 ratings","3.94 avg rating — 562,642 ratings"
Bridge to Terabithia,Katherine Paterson,"4.06 avg rating — 573,887 ratings","4.06 avg rating — 573,887 ratings"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"4.20 avg rating — 687,674 ratings","4.20 avg rating — 687,674 ratings"
"Frostbite (Vampire Academy, #2)",Richelle Mead,"4.25 avg rating — 366,648 ratings",(Goodreads Author)
The Diary of a Young Girl,Anne Frank,"4.20 avg rating — 4,012,684 ratings","4.20 avg rating — 4,012,684 ratings"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.40 avg rating — 3,693,181 ratings",(Goodreads Author)
Heart of Darkness,Joseph Conrad,"3.43 avg rating — 539,374 ratings","3.43 avg rating — 539,374 ratings"
Tess of the D’Urbervilles,Thomas Hardy,"3.84 avg rating — 295,348 ratings","3.84 avg rating — 295,348 ratings"
"The Selection (The Selection, #1)",Kiera Cass,"4.07 avg rating — 1,688,907 ratings",(Goodreads Author)
The Night Circus,Erin Morgenstern,"4.01 avg rating — 1,052,445 ratings",(Goodreads Author)
The Prophet,Kahlil Gibran,"4.23 avg rating — 317,145 ratings","4.23 avg rating — 317,145 ratings"
"Blood Promise (Vampire Academy, #4)",Richelle Mead,"4.30 avg rating — 322,550 ratings",(Goodreads Author)
The Call of the Wild,Jack London,"3.91 avg rating — 455,385 ratings","3.91 avg rating — 455,385 ratings"
Alice in Wonderland,Jane Carruth,"4.03 avg rating — 394,899 ratings",(Adapted By)
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"4.01 avg rating — 256,197 ratings","4.01 avg rating — 256,197 ratings"
The Joy Luck Club,Amy Tan,"3.97 avg rating — 698,388 ratings",(Goodreads Author)
The Phantom Tollbooth,Norton Juster,"4.20 avg rating — 298,985 ratings","4.20 avg rating — 298,985 ratings"
"Oh, the Places You’ll Go!",Dr. Seuss,"4.37 avg rating — 429,069 ratings","4.37 avg rating — 429,069 ratings"
The Neverending Story,Michael Ende,"4.18 avg rating — 213,353 ratings","4.18 avg rating — 213,353 ratings"
Madame Bovary,Gustave Flaubert,"3.71 avg rating — 357,227 ratings","3.71 avg rating — 357,227 ratings"
Treasure Island,Robert Louis Stevenson,"3.85 avg rating — 521,141 ratings","3.85 avg rating — 521,141 ratings"
Oliver Twist,Charles Dickens,"3.88 avg rating — 415,839 ratings","3.88 avg rating — 415,839 ratings"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"4.13 avg rating — 210,252 ratings","4.13 avg rating — 210,252 ratings"
Jonathan Livingston Seagull,Richard Bach,"3.86 avg rating — 264,548 ratings",(Goodreads Author)
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"4.55 avg rating — 822,259 ratings","4.55 avg rating — 822,259 ratings"
The Boy in the Striped Pajamas,John Boyne,"4.16 avg rating — 910,917 ratings",(Goodreads Author)
Ulysses,James Joyce,"3.77 avg rating — 136,990 ratings","3.77 avg rating — 136,990 ratings"
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"4.12 avg rating — 1,015,206 ratings","4.12 avg rating — 1,015,206 ratings"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"3.67 avg rating — 2,783,305 ratings",(Goodreads Author)
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"4.29 avg rating — 908,102 ratings",(Goodreads Author)
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"3.97 avg rating — 468,671 ratings","3.97 avg rating — 468,671 ratings"
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,"4.10 avg rating — 276,646 ratings","4.10 avg rating — 276,646 ratings"
A Farewell to Arms,Ernest Hemingway,"3.82 avg rating — 339,921 ratings","3.82 avg rating — 339,921 ratings"
David Copperfield,Charles Dickens,"4.04 avg rating — 250,662 ratings","4.04 avg rating — 250,662 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 233,043 ratings","3.52 avg rating — 233,043 ratings"
A Little Princess,Frances Hodgson Burnett,"4.23 avg rating — 318,400 ratings","4.23 avg rating — 318,400 ratings"
The World According to Garp,John Irving,"4.11 avg rating — 234,615 ratings",(Goodreads Author)
Thirteen Reasons Why,Jay Asher,"3.84 avg rating — 1,007,352 ratings",(Goodreads Author)
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"4.13 avg rating — 981,435 ratings",(Goodreads Author)
His Dark Materials (His Dark Materials #1-3),Philip Pullman,"4.29 avg rating — 165,814 ratings","4.29 avg rating — 165,814 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.52 avg rating — 658,688 ratings","3.52 avg rating — 658,688 ratings"
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"4.42 avg rating — 573,777 ratings",(Goodreads Author)
"Shōgun (Asian Saga, #1)",James Clavell,"4.41 avg rating — 202,447 ratings","4.41 avg rating — 202,447 ratings"
Schindler’s List,Thomas Keneally,"4.34 avg rating — 163,525 ratings","4.34 avg rating — 163,525 ratings"
